cell,n,tr_wk,wr,pf,expR,totR,maxDD_R,n_long,n_short,slip_0.015R_pf,slip_0.03R_pf,labels,per_year_pf,per_year_n,window,trend_gate,pullback,entry,stop,exit,stage,kill_gate_verdict
W1_0945_1130|TG1_vwap_slope|PB1_touch_vwap|E1_next_open|S2_atr2.5|X3_trail5.0,2304,4.255,39.2,0.884,-0.0648,-149.268,169.33,1151,1153,0.859,0.835,-,"{2016: 0.658, 2017: 0.699, 2018: 1.035, 2019: 0.737, 2020: 1.014, 2021: 0.84, 2022: 1.068, 2023: 0.932, 2024: 0.848, 2025: 1.024, 2026: 1.103}","{2016: 236, 2017: 216, 2018: 229, 2019: 224, 2020: 227, 2021: 211, 2022: 226, 2023: 223, 2024: 211, 2025: 209, 2026: 92}",W1_0945_1130,TG1_vwap_slope,PB1_touch_vwap,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG1_vwap_slope|PB1_touch_vwap|E2_break_reclaim|S2_atr2.5|X3_trail5.0,1531,2.829,39.6,0.878,-0.0681,-104.248,127.162,767,764,0.853,0.829,-,"{2016: 0.702, 2017: 0.752, 2018: 1.051, 2019: 0.641, 2020: 0.998, 2021: 0.739, 2022: 1.072, 2023: 1.016, 2024: 0.812, 2025: 0.996, 2026: 1.205}","{2016: 164, 2017: 145, 2018: 154, 2019: 155, 2020: 152, 2021: 144, 2022: 146, 2023: 142, 2024: 131, 2025: 140, 2026: 58}",W1_0945_1130,TG1_vwap_slope,PB1_touch_vwap,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG1_vwap_slope|PB2_reclaim|E1_next_open|S2_atr2.5|X3_trail5.0,1371,2.533,38.6,0.85,-0.0853,-116.965,142.437,659,712,0.827,0.804,-,"{2016: 0.7, 2017: 0.774, 2018: 0.78, 2019: 0.685, 2020: 0.901, 2021: 0.678, 2022: 1.266, 2023: 0.936, 2024: 0.962, 2025: 1.201, 2026: 0.492}","{2016: 140, 2017: 133, 2018: 145, 2019: 131, 2020: 133, 2021: 127, 2022: 128, 2023: 138, 2024: 127, 2025: 121, 2026: 48}",W1_0945_1130,TG1_vwap_slope,PB2_reclaim,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG1_vwap_slope|PB2_reclaim|E2_break_reclaim|S2_atr2.5|X3_trail5.0,1240,2.291,37.7,0.83,-0.0978,-121.259,128.352,603,637,0.808,0.785,-,"{2016: 0.641, 2017: 0.828, 2018: 0.857, 2019: 0.668, 2020: 0.882, 2021: 0.757, 2022: 1.261, 2023: 0.791, 2024: 0.889, 2025: 1.039, 2026: 0.478}","{2016: 133, 2017: 116, 2018: 130, 2019: 120, 2020: 113, 2021: 113, 2022: 120, 2023: 126, 2024: 112, 2025: 113, 2026: 44}",W1_0945_1130,TG1_vwap_slope,PB2_reclaim,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG1_vwap_slope|PB3_wick_close_trend|E1_next_open|S2_atr2.5|X3_trail5.0,2094,3.868,39.3,0.873,-0.0719,-150.555,195.733,1046,1048,0.849,0.826,-,"{2016: 0.603, 2017: 0.726, 2018: 0.875, 2019: 0.679, 2020: 0.887, 2021: 0.787, 2022: 1.188, 2023: 1.05, 2024: 0.931, 2025: 1.119, 2026: 1.122}","{2016: 212, 2017: 188, 2018: 214, 2019: 209, 2020: 208, 2021: 194, 2022: 202, 2023: 203, 2024: 188, 2025: 191, 2026: 85}",W1_0945_1130,TG1_vwap_slope,PB3_wick_close_trend,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG1_vwap_slope|PB3_wick_close_trend|E2_break_reclaim|S2_atr2.5|X3_trail5.0,1719,3.175,39.0,0.866,-0.0751,-129.105,153.91,862,857,0.842,0.819,-,"{2016: 0.653, 2017: 0.749, 2018: 0.967, 2019: 0.68, 2020: 0.932, 2021: 0.675, 2022: 1.079, 2023: 1.034, 2024: 0.842, 2025: 1.135, 2026: 1.057}","{2016: 176, 2017: 155, 2018: 179, 2019: 164, 2020: 171, 2021: 167, 2022: 167, 2023: 172, 2024: 143, 2025: 149, 2026: 76}",W1_0945_1130,TG1_vwap_slope,PB3_wick_close_trend,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG2_first30m|PB1_touch_vwap|E1_next_open|S2_atr2.5|X3_trail5.0,2507,4.63,43.3,1.147,0.0726,182.107,54.862,1277,1230,1.115,1.083,-,"{2016: 0.769, 2017: 0.895, 2018: 1.361, 2019: 0.785, 2020: 1.272, 2021: 1.231, 2022: 1.171, 2023: 1.174, 2024: 1.352, 2025: 1.473, 2026: 1.643}","{2016: 249, 2017: 240, 2018: 242, 2019: 235, 2020: 248, 2021: 233, 2022: 244, 2023: 240, 2024: 242, 2025: 237, 2026: 97}",W1_0945_1130,TG2_first30m,PB1_touch_vwap,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG2_first30m|PB1_touch_vwap|E2_break_reclaim|S2_atr2.5|X3_trail5.0,2072,3.828,42.3,1.033,0.0171,35.44,88.489,1052,1020,1.004,0.976,WATCHLIST_ONE_REGIME,"{2016: 0.702, 2017: 0.89, 2018: 1.204, 2019: 0.626, 2020: 1.149, 2021: 1.16, 2022: 0.974, 2023: 1.048, 2024: 1.277, 2025: 1.273, 2026: 1.773}","{2016: 211, 2017: 191, 2018: 203, 2019: 193, 2020: 206, 2021: 192, 2022: 205, 2023: 207, 2024: 196, 2025: 189, 2026: 79}",W1_0945_1130,TG2_first30m,PB1_touch_vwap,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG2_first30m|PB2_reclaim|E1_next_open|S2_atr2.5|X3_trail5.0,1991,3.677,42.1,1.017,0.0087,17.377,96.078,1008,983,0.988,0.961,"REJECTED_FILL_MIRAGE,WATCHLIST_ONE_REGIME","{2016: 0.783, 2017: 0.705, 2018: 1.048, 2019: 0.711, 2020: 1.311, 2021: 0.926, 2022: 1.05, 2023: 1.108, 2024: 1.284, 2025: 1.271, 2026: 1.458}","{2016: 202, 2017: 191, 2018: 209, 2019: 180, 2020: 188, 2021: 182, 2022: 195, 2023: 202, 2024: 190, 2025: 181, 2026: 71}",W1_0945_1130,TG2_first30m,PB2_reclaim,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG2_first30m|PB2_reclaim|E2_break_reclaim|S2_atr2.5|X3_trail5.0,1827,3.374,41.8,1.004,0.0022,3.994,88.341,941,886,0.976,0.949,"REJECTED_FILL_MIRAGE,WATCHLIST_ONE_REGIME","{2016: 0.719, 2017: 0.731, 2018: 1.087, 2019: 0.7, 2020: 1.384, 2021: 0.999, 2022: 1.032, 2023: 1.083, 2024: 1.17, 2025: 1.202, 2026: 1.32}","{2016: 190, 2017: 176, 2018: 195, 2019: 165, 2020: 169, 2021: 161, 2022: 178, 2023: 183, 2024: 177, 2025: 166, 2026: 67}",W1_0945_1130,TG2_first30m,PB2_reclaim,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG2_first30m|PB3_wick_close_trend|E1_next_open|S2_atr2.5|X3_trail5.0,2433,4.494,42.3,1.043,0.0223,54.22,98.856,1241,1192,1.014,0.986,WATCHLIST_ONE_REGIME,"{2016: 0.763, 2017: 0.796, 2018: 1.158, 2019: 0.697, 2020: 1.113, 2021: 1.122, 2022: 1.106, 2023: 1.06, 2024: 1.236, 2025: 1.367, 2026: 1.468}","{2016: 237, 2017: 230, 2018: 235, 2019: 227, 2020: 245, 2021: 228, 2022: 237, 2023: 237, 2024: 234, 2025: 228, 2026: 95}",W1_0945_1130,TG2_first30m,PB3_wick_close_trend,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG2_first30m|PB3_wick_close_trend|E2_break_reclaim|S2_atr2.5|X3_trail5.0,2169,4.007,41.8,0.998,-0.0013,-2.745,102.913,1116,1053,0.97,0.942,-,"{2016: 0.696, 2017: 0.807, 2018: 1.16, 2019: 0.651, 2020: 1.125, 2021: 1.1, 2022: 0.968, 2023: 1.075, 2024: 1.125, 2025: 1.196, 2026: 1.617}","{2016: 215, 2017: 202, 2018: 218, 2019: 200, 2020: 220, 2021: 199, 2022: 214, 2023: 214, 2024: 209, 2025: 193, 2026: 85}",W1_0945_1130,TG2_first30m,PB3_wick_close_trend,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG3_price_vs_vwap|PB1_touch_vwap|E1_next_open|S2_atr2.5|X3_trail5.0,2503,4.623,38.0,0.838,-0.0922,-230.828,269.728,1235,1268,0.815,0.792,-,"{2016: 0.661, 2017: 0.745, 2018: 0.855, 2019: 0.599, 2020: 0.638, 2021: 0.851, 2022: 1.208, 2023: 0.787, 2024: 0.981, 2025: 1.144, 2026: 0.981}","{2016: 245, 2017: 239, 2018: 242, 2019: 235, 2020: 248, 2021: 234, 2022: 244, 2023: 240, 2024: 242, 2025: 237, 2026: 97}",W1_0945_1130,TG3_price_vs_vwap,PB1_touch_vwap,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG3_price_vs_vwap|PB1_touch_vwap|E2_break_reclaim|S2_atr2.5|X3_trail5.0,2079,3.842,38.9,0.858,-0.08,-166.379,210.197,1036,1043,0.834,0.811,-,"{2016: 0.645, 2017: 0.729, 2018: 0.919, 2019: 0.602, 2020: 0.686, 2021: 0.869, 2022: 1.045, 2023: 0.972, 2024: 1.011, 2025: 1.071, 2026: 1.318}","{2016: 215, 2017: 198, 2018: 207, 2019: 194, 2020: 199, 2021: 195, 2022: 212, 2023: 193, 2024: 202, 2025: 188, 2026: 76}",W1_0945_1130,TG3_price_vs_vwap,PB1_touch_vwap,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG3_price_vs_vwap|PB2_reclaim|E1_next_open|S2_atr2.5|X3_trail5.0,2276,4.204,38.1,0.853,-0.0841,-191.303,199.388,1138,1138,0.829,0.806,-,"{2016: 0.67, 2017: 0.546, 2018: 0.793, 2019: 0.695, 2020: 1.087, 2021: 0.924, 2022: 1.065, 2023: 0.925, 2024: 1.133, 2025: 0.758, 2026: 0.918}","{2016: 225, 2017: 216, 2018: 231, 2019: 210, 2020: 221, 2021: 205, 2022: 223, 2023: 227, 2024: 220, 2025: 213, 2026: 85}",W1_0945_1130,TG3_price_vs_vwap,PB2_reclaim,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG3_price_vs_vwap|PB2_reclaim|E2_break_reclaim|S2_atr2.5|X3_trail5.0,1982,3.662,39.0,0.88,-0.068,-134.696,148.402,1011,971,0.855,0.832,-,"{2016: 0.688, 2017: 0.568, 2018: 0.835, 2019: 0.72, 2020: 1.106, 2021: 0.947, 2022: 1.145, 2023: 0.968, 2024: 1.207, 2025: 0.7, 2026: 1.029}","{2016: 202, 2017: 191, 2018: 204, 2019: 183, 2020: 195, 2021: 169, 2022: 190, 2023: 201, 2024: 190, 2025: 183, 2026: 74}",W1_0945_1130,TG3_price_vs_vwap,PB2_reclaim,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG3_price_vs_vwap|PB3_wick_close_trend|E1_next_open|S2_atr2.5|X3_trail5.0,2503,4.623,38.0,0.838,-0.0922,-230.828,269.728,1235,1268,0.815,0.792,-,"{2016: 0.661, 2017: 0.745, 2018: 0.855, 2019: 0.599, 2020: 0.638, 2021: 0.851, 2022: 1.208, 2023: 0.787, 2024: 0.981, 2025: 1.144, 2026: 0.981}","{2016: 245, 2017: 239, 2018: 242, 2019: 235, 2020: 248, 2021: 234, 2022: 244, 2023: 240, 2024: 242, 2025: 237, 2026: 97}",W1_0945_1130,TG3_price_vs_vwap,PB3_wick_close_trend,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG3_price_vs_vwap|PB3_wick_close_trend|E2_break_reclaim|S2_atr2.5|X3_trail5.0,2079,3.842,38.9,0.858,-0.08,-166.379,210.197,1036,1043,0.834,0.811,-,"{2016: 0.645, 2017: 0.729, 2018: 0.919, 2019: 0.602, 2020: 0.686, 2021: 0.869, 2022: 1.045, 2023: 0.972, 2024: 1.011, 2025: 1.071, 2026: 1.318}","{2016: 215, 2017: 198, 2018: 207, 2019: 194, 2020: 199, 2021: 195, 2022: 212, 2023: 193, 2024: 202, 2025: 188, 2026: 76}",W1_0945_1130,TG3_price_vs_vwap,PB3_wick_close_trend,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG4_slope_drive|PB1_touch_vwap|E1_next_open|S2_atr2.5|X3_trail5.0,2162,3.993,38.9,0.879,-0.0676,-146.232,159.505,1091,1071,0.854,0.831,-,"{2016: 0.612, 2017: 0.653, 2018: 1.075, 2019: 0.687, 2020: 1.022, 2021: 0.944, 2022: 0.983, 2023: 0.949, 2024: 0.899, 2025: 0.978, 2026: 1.19}","{2016: 228, 2017: 201, 2018: 214, 2019: 215, 2020: 205, 2021: 197, 2022: 211, 2023: 206, 2024: 198, 2025: 197, 2026: 90}",W1_0945_1130,TG4_slope_drive,PB1_touch_vwap,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG4_slope_drive|PB1_touch_vwap|E2_break_reclaim|S2_atr2.5|X3_trail5.0,1417,2.619,39.8,0.892,-0.0595,-84.3,105.014,722,695,0.867,0.843,-,"{2016: 0.626, 2017: 0.709, 2018: 1.122, 2019: 0.571, 2020: 1.103, 2021: 0.917, 2022: 1.024, 2023: 1.091, 2024: 0.856, 2025: 0.943, 2026: 1.306}","{2016: 159, 2017: 135, 2018: 148, 2019: 145, 2020: 135, 2021: 131, 2022: 127, 2023: 131, 2024: 121, 2025: 127, 2026: 58}",W1_0945_1130,TG4_slope_drive,PB1_touch_vwap,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG4_slope_drive|PB2_reclaim|E1_next_open|S2_atr2.5|X3_trail5.0,1012,1.87,40.0,0.907,-0.0511,-51.759,103.402,486,526,0.882,0.857,-,"{2016: 0.539, 2017: 0.745, 2018: 0.792, 2019: 0.748, 2020: 1.034, 2021: 0.741, 2022: 1.451, 2023: 0.978, 2024: 1.122, 2025: 1.347, 2026: 0.978}","{2016: 110, 2017: 103, 2018: 108, 2019: 94, 2020: 89, 2021: 93, 2022: 89, 2023: 106, 2024: 90, 2025: 94, 2026: 36}",W1_0945_1130,TG4_slope_drive,PB2_reclaim,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG4_slope_drive|PB2_reclaim|E2_break_reclaim|S2_atr2.5|X3_trail5.0,925,1.709,38.8,0.879,-0.0676,-62.505,86.335,452,473,0.855,0.831,-,"{2016: 0.471, 2017: 0.8, 2018: 0.865, 2019: 0.74, 2020: 1.107, 2021: 0.838, 2022: 1.423, 2023: 0.803, 2024: 0.978, 2025: 1.148, 2026: 0.919}","{2016: 104, 2017: 91, 2018: 98, 2019: 88, 2020: 74, 2021: 83, 2022: 85, 2023: 100, 2024: 81, 2025: 87, 2026: 34}",W1_0945_1130,TG4_slope_drive,PB2_reclaim,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG4_slope_drive|PB3_wick_close_trend|E1_next_open|S2_atr2.5|X3_trail5.0,1706,3.153,39.8,0.896,-0.0578,-98.684,145.902,862,844,0.872,0.848,-,"{2016: 0.575, 2017: 0.625, 2018: 0.998, 2019: 0.702, 2020: 0.999, 2021: 0.901, 2022: 1.088, 2023: 0.996, 2024: 1.008, 2025: 1.148, 2026: 1.377}","{2016: 184, 2017: 155, 2018: 168, 2019: 177, 2020: 162, 2021: 156, 2022: 160, 2023: 168, 2024: 154, 2025: 152, 2026: 70}",W1_0945_1130,TG4_slope_drive,PB3_wick_close_trend,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W1_0945_1130|TG4_slope_drive|PB3_wick_close_trend|E2_break_reclaim|S2_atr2.5|X3_trail5.0,1401,2.589,39.8,0.894,-0.0585,-81.97,113.485,716,685,0.869,0.844,-,"{2016: 0.613, 2017: 0.67, 2018: 1.031, 2019: 0.678, 2020: 1.115, 2021: 0.782, 2022: 1.098, 2023: 0.994, 2024: 0.937, 2025: 1.078, 2026: 1.251}","{2016: 153, 2017: 127, 2018: 140, 2019: 143, 2020: 130, 2021: 132, 2022: 132, 2023: 142, 2024: 119, 2025: 120, 2026: 63}",W1_0945_1130,TG4_slope_drive,PB3_wick_close_trend,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W2_1000_1500|TG1_vwap_slope|PB1_touch_vwap|E1_next_open|S2_atr2.5|X3_trail5.0,2495,4.608,39.5,0.882,-0.066,-164.568,177.399,1256,1239,0.857,0.834,-,"{2016: 0.631, 2017: 0.717, 2018: 1.024, 2019: 0.733, 2020: 1.012, 2021: 0.867, 2022: 1.131, 2023: 0.926, 2024: 0.858, 2025: 0.96, 2026: 1.052}","{2016: 248, 2017: 241, 2018: 240, 2019: 238, 2020: 243, 2021: 231, 2022: 243, 2023: 242, 2024: 236, 2025: 235, 2026: 98}",W2_1000_1500,TG1_vwap_slope,PB1_touch_vwap,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W2_1000_1500|TG1_vwap_slope|PB1_touch_vwap|E2_break_reclaim|S2_atr2.5|X3_trail5.0,1633,3.018,39.8,0.866,-0.0752,-122.783,139.8,824,809,0.841,0.818,-,"{2016: 0.672, 2017: 0.774, 2018: 1.011, 2019: 0.656, 2020: 0.974, 2021: 0.723, 2022: 1.128, 2023: 1.015, 2024: 0.771, 2025: 0.92, 2026: 1.24}","{2016: 171, 2017: 156, 2018: 161, 2019: 160, 2020: 161, 2021: 153, 2022: 155, 2023: 154, 2024: 146, 2025: 157, 2026: 59}",W2_1000_1500,TG1_vwap_slope,PB1_touch_vwap,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W2_1000_1500|TG1_vwap_slope|PB2_reclaim|E1_next_open|S2_atr2.5|X3_trail5.0,1940,3.584,37.8,0.806,-0.1134,-220.051,223.886,957,983,0.784,0.763,-,"{2016: 0.69, 2017: 0.64, 2018: 0.803, 2019: 0.657, 2020: 0.916, 2021: 0.65, 2022: 1.171, 2023: 0.946, 2024: 0.753, 2025: 1.017, 2026: 0.798}","{2016: 193, 2017: 189, 2018: 197, 2019: 194, 2020: 192, 2021: 175, 2022: 186, 2023: 183, 2024: 184, 2025: 177, 2026: 70}",W2_1000_1500,TG1_vwap_slope,PB2_reclaim,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W2_1000_1500|TG1_vwap_slope|PB2_reclaim|E2_break_reclaim|S2_atr2.5|X3_trail5.0,1761,3.253,37.3,0.788,-0.1253,-220.724,224.448,876,885,0.766,0.746,-,"{2016: 0.651, 2017: 0.643, 2018: 0.845, 2019: 0.626, 2020: 0.914, 2021: 0.716, 2022: 1.191, 2023: 0.841, 2024: 0.697, 2025: 0.925, 2026: 0.719}","{2016: 183, 2017: 166, 2018: 182, 2019: 176, 2020: 167, 2021: 157, 2022: 173, 2023: 168, 2024: 159, 2025: 165, 2026: 65}",W2_1000_1500,TG1_vwap_slope,PB2_reclaim,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W2_1000_1500|TG1_vwap_slope|PB3_wick_close_trend|E1_next_open|S2_atr2.5|X3_trail5.0,2398,4.429,39.3,0.861,-0.079,-189.36,208.378,1212,1186,0.837,0.814,-,"{2016: 0.604, 2017: 0.676, 2018: 0.863, 2019: 0.754, 2020: 0.929, 2021: 0.781, 2022: 1.243, 2023: 0.967, 2024: 0.882, 2025: 1.001, 2026: 1.075}","{2016: 236, 2017: 227, 2018: 237, 2019: 232, 2020: 236, 2021: 223, 2022: 233, 2023: 229, 2024: 225, 2025: 226, 2026: 94}",W2_1000_1500,TG1_vwap_slope,PB3_wick_close_trend,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W2_1000_1500|TG1_vwap_slope|PB3_wick_close_trend|E2_break_reclaim|S2_atr2.5|X3_trail5.0,1950,3.602,39.0,0.855,-0.0822,-160.23,170.69,989,961,0.831,0.808,-,"{2016: 0.662, 2017: 0.706, 2018: 0.948, 2019: 0.731, 2020: 1.01, 2021: 0.661, 2022: 1.133, 2023: 0.981, 2024: 0.783, 2025: 0.997, 2026: 1.025}","{2016: 196, 2017: 185, 2018: 199, 2019: 181, 2020: 191, 2021: 191, 2022: 188, 2023: 189, 2024: 170, 2025: 176, 2026: 84}",W2_1000_1500,TG1_vwap_slope,PB3_wick_close_trend,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W2_1000_1500|TG2_first30m|PB1_touch_vwap|E1_next_open|S2_atr2.5|X3_trail5.0,2493,4.604,39.7,0.886,-0.0637,-158.749,168.484,1266,1227,0.861,0.837,-,"{2016: 0.576, 2017: 0.713, 2018: 1.1, 2019: 0.668, 2020: 0.996, 2021: 0.96, 2022: 1.01, 2023: 0.982, 2024: 0.948, 2025: 0.925, 2026: 1.143}","{2016: 248, 2017: 240, 2018: 240, 2019: 238, 2020: 243, 2021: 230, 2022: 243, 2023: 242, 2024: 236, 2025: 235, 2026: 98}",W2_1000_1500,TG2_first30m,PB1_touch_vwap,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W2_1000_1500|TG2_first30m|PB1_touch_vwap|E2_break_reclaim|S2_atr2.5|X3_trail5.0,1609,2.973,39.8,0.856,-0.0804,-129.371,150.805,824,785,0.832,0.808,-,"{2016: 0.592, 2017: 0.685, 2018: 1.023, 2019: 0.588, 2020: 0.871, 2021: 0.826, 2022: 1.043, 2023: 1.109, 2024: 0.895, 2025: 0.87, 2026: 1.444}","{2016: 169, 2017: 157, 2018: 167, 2019: 151, 2020: 161, 2021: 144, 2022: 144, 2023: 155, 2024: 147, 2025: 154, 2026: 60}",W2_1000_1500,TG2_first30m,PB1_touch_vwap,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W2_1000_1500|TG2_first30m|PB2_reclaim|E1_next_open|S2_atr2.5|X3_trail5.0,2168,4.004,39.3,0.858,-0.0806,-174.814,220.86,1106,1062,0.835,0.812,-,"{2016: 0.548, 2017: 0.534, 2018: 0.842, 2019: 0.632, 2020: 0.953, 2021: 1.023, 2022: 1.145, 2023: 1.023, 2024: 1.008, 2025: 1.039, 2026: 1.102}","{2016: 215, 2017: 209, 2018: 215, 2019: 209, 2020: 212, 2021: 198, 2022: 214, 2023: 208, 2024: 207, 2025: 198, 2026: 83}",W2_1000_1500,TG2_first30m,PB2_reclaim,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W2_1000_1500|TG2_first30m|PB2_reclaim|E2_break_reclaim|S2_atr2.5|X3_trail5.0,1961,3.622,38.8,0.864,-0.0773,-151.536,185.289,1017,944,0.84,0.817,-,"{2016: 0.513, 2017: 0.59, 2018: 0.848, 2019: 0.655, 2020: 1.022, 2021: 1.188, 2022: 1.057, 2023: 0.977, 2024: 0.941, 2025: 1.069, 2026: 0.931}","{2016: 203, 2017: 182, 2018: 198, 2019: 189, 2020: 183, 2021: 177, 2022: 203, 2023: 186, 2024: 187, 2025: 177, 2026: 76}",W2_1000_1500,TG2_first30m,PB2_reclaim,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W2_1000_1500|TG2_first30m|PB3_wick_close_trend|E1_next_open|S2_atr2.5|X3_trail5.0,2378,4.392,40.2,0.898,-0.057,-135.462,192.968,1221,1157,0.873,0.849,-,"{2016: 0.56, 2017: 0.603, 2018: 0.941, 2019: 0.654, 2020: 1.035, 2021: 1.065, 2022: 1.069, 2023: 1.019, 2024: 1.091, 2025: 1.031, 2026: 1.23}","{2016: 233, 2017: 228, 2018: 233, 2019: 231, 2020: 235, 2021: 219, 2022: 233, 2023: 226, 2024: 224, 2025: 223, 2026: 93}",W2_1000_1500,TG2_first30m,PB3_wick_close_trend,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W2_1000_1500|TG2_first30m|PB3_wick_close_trend|E2_break_reclaim|S2_atr2.5|X3_trail5.0,1996,3.687,40.2,0.903,-0.0537,-107.111,156.581,1031,965,0.877,0.853,-,"{2016: 0.552, 2017: 0.64, 2018: 0.94, 2019: 0.658, 2020: 1.117, 2021: 1.061, 2022: 1.045, 2023: 1.016, 2024: 1.048, 2025: 1.055, 2026: 1.151}","{2016: 202, 2017: 188, 2018: 203, 2019: 190, 2020: 196, 2021: 186, 2022: 196, 2023: 192, 2024: 183, 2025: 177, 2026: 83}",W2_1000_1500,TG2_first30m,PB3_wick_close_trend,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W2_1000_1500|TG3_price_vs_vwap|PB1_touch_vwap|E1_next_open|S2_atr2.5|X3_trail5.0,2489,4.597,38.9,0.858,-0.0809,-201.416,219.699,1280,1209,0.835,0.812,-,"{2016: 0.73, 2017: 0.737, 2018: 0.826, 2019: 0.64, 2020: 0.823, 2021: 0.817, 2022: 1.16, 2023: 1.15, 2024: 0.854, 2025: 0.805, 2026: 1.269}","{2016: 244, 2017: 239, 2018: 240, 2019: 238, 2020: 243, 2021: 231, 2022: 243, 2023: 242, 2024: 236, 2025: 235, 2026: 98}",W2_1000_1500,TG3_price_vs_vwap,PB1_touch_vwap,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W2_1000_1500|TG3_price_vs_vwap|PB1_touch_vwap|E2_break_reclaim|S2_atr2.5|X3_trail5.0,2051,3.788,39.4,0.869,-0.0742,-152.234,175.492,1057,994,0.845,0.821,-,"{2016: 0.806, 2017: 0.674, 2018: 0.868, 2019: 0.62, 2020: 0.855, 2021: 0.776, 2022: 1.129, 2023: 1.241, 2024: 0.908, 2025: 0.781, 2026: 1.219}","{2016: 200, 2017: 206, 2018: 199, 2019: 191, 2020: 203, 2021: 191, 2022: 200, 2023: 199, 2024: 187, 2025: 189, 2026: 86}",W2_1000_1500,TG3_price_vs_vwap,PB1_touch_vwap,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W2_1000_1500|TG3_price_vs_vwap|PB2_reclaim|E1_next_open|S2_atr2.5|X3_trail5.0,2344,4.329,38.2,0.858,-0.0819,-192.038,194.041,1130,1214,0.834,0.812,-,"{2016: 0.84, 2017: 0.616, 2018: 0.819, 2019: 0.644, 2020: 0.979, 2021: 0.939, 2022: 1.064, 2023: 0.938, 2024: 1.039, 2025: 0.868, 2026: 0.587}","{2016: 230, 2017: 228, 2018: 231, 2019: 226, 2020: 225, 2021: 218, 2022: 231, 2023: 227, 2024: 224, 2025: 217, 2026: 87}",W2_1000_1500,TG3_price_vs_vwap,PB2_reclaim,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
